date,keywords,apple,zoom,tesla,audi
2019-07-28,36,46,3,22,74
2019-08-04,88,52,4,19,81
2019-08-11,55,49,4,21,90
2019-08-18,46,53,3,24,100
2019-08-25,78,54,4,19,83
2019-09-01,65,61,4,19,63
2019-09-08,43,82,4,17,70
2019-09-15,43,85,4,19,75
2019-09-22,50,89,4,19,81
2019-09-29,54,80,4,21,82
2019-10-06,58,71,3,24,74
2019-10-13,51,71,3,19,81
2019-10-20,86,61,3,23,77
2019-10-27,50,68,3,20,62
2019-11-03,57,65,3,19,59
2019-11-10,70,68,4,23,51
2019-11-17,49,82,4,100,69
2019-11-24,45,92,3,79,75
2019-12-01,41,77,4,32,82
2019-12-08,35,75,4,29,69
2019-12-15,51,75,4,26,63
2019-12-22,36,100,4,35,82
2019-12-29,90,71,5,24,86
2020-01-05,70,67,4,25,71
2020-01-12,40,65,4,23,98
2020-01-19,28,59,4,24,65
2020-01-26,47,54,4,27,52
2020-02-02,27,56,4,37,100
2020-02-09,54,56,4,34,85
2020-02-16,80,59,4,28,86
2020-02-23,88,57,4,33,85
2020-03-01,65,58,4,25,79
2020-03-08,88,57,10,26,68
2020-03-15,51,62,32,27,49
2020-03-22,75,70,65,24,65
2020-03-29,61,68,95,22,68
2020-04-05,87,72,100,19,67
2020-04-12,60,70,100,17,59
2020-04-19,71,66,93,19,73
2020-04-26,66,67,82,25,86
2020-05-03,42,63,73,22,67
2020-05-10,61,66,67,22,90
2020-05-17,37,66,58,21,78
2020-05-24,82,63,46,28,95
2020-05-31,61,57,39,26,73
2020-06-07,100,60,36,27,68
2020-06-14,52,54,33,29,57
2020-06-21,59,71,30,24,78
2020-06-28,60,62,25,30,77
